Series Name,Series Code,Country Name,Country Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Internet users (per 100 people),IT.NET.USER.P2,Mauritania,MRT,..,..,0.004172527,0.040594795,0.118464464,0.192031462,0.261448552,0.363229415,0.424004896,0.481470438,0.669966475,0.979661253,1.433613196,1.87,2.28,4,4.5,5,6.2,10.7,15.19912669,..
Internet users (per 100 people),IT.NET.USER.P2,Mauritius,MUS,..,0.183769158,0.475629193,2.565279962,4.652213227,7.281535115,8.780904019,10.25262467,12.1871062,13.68908859,15.17222875,16.7,20.22,21.81,22.51,28.33,34.95,35.42,40.11682514,44.80327537,50.13931848,..
Internet users (per 100 people),IT.NET.USER.P2,Mozambique,MOZ,..,0.003042979,0.011842611,0.020197055,0.056250629,0.10959253,0.160031947,0.259612611,0.419538844,0.679447835,0.854357118,0.842954488,0.91,1.56,2.68,4.17,4.3,4.8491,5.4,5.94,9,..
Internet users (per 100 people),IT.NET.USER.P2,Namibia,NAM,0.006172051,0.009032145,0.058750679,0.286745093,0.336217708,1.644739547,2.416979442,2.633699769,3.359839886,3.804715615,4.010046644,4.398870647,4.835610778,5.329003772,6.5,11.6,12,12.9414,13.9,14.84,22.30701479,..
Internet users (per 100 people),IT.NET.USER.P2,Niger,NER,..,0.001039305,0.002008766,0.002911503,0.028136022,0.036261294,0.105185431,0.127152469,0.155698704,0.189933734,0.221341351,0.294033977,0.39039062,0.7,0.76,0.83,1.3,1.4077,1.7,1.95,2.22016535,..
Internet users (per 100 people),IT.NET.USER.P2,Nigeria,NGA,..,0.00883298,0.017237401,0.025231461,0.041038723,0.064080808,0.08990137,0.320461976,0.558576245,1.286137641,3.549155718,5.545036083,6.77,15.86,20,24,28.43,32.8,38,42.68,47.44255029,..
Internet users (per 100 people),IT.NET.USER.P2,Rwanda,RWA,..,0.000883372,0.001625791,0.011763573,0.067176482,0.06283146,0.24067241,0.292784719,0.356918467,0.430854243,0.556041165,..,2.115387178,4.5,7.7,8,7,8.023854277,9,10.6,18,..
Internet users (per 100 people),IT.NET.USER.P2,Sao Tome and Principe,STP,..,..,..,0.295847047,0.363203161,4.638516816,6.310917888,7.580665169,10.16184431,13.32285269,13.75948422,14.18201978,14.5904832,15.48,16.41,18.75,20.1612,21.5724,23,24.41,25.8222488,..
Internet users (per 100 people),IT.NET.USER.P2,Senegal,SEN,0.000692848,0.011238219,0.027347441,0.079871379,0.311090952,0.403967486,0.983794059,1.006454537,2.10143643,4.38602398,4.786684083,5.611738652,6.89,7.12,7.5,8,9.8,10.8,13.1,17.7,21.69026413,..
Internet users (per 100 people),IT.NET.USER.P2,Seychelles,SYC,..,0.651474286,1.28295593,2.526177514,6.229054803,7.395629183,11.01510293,14.30417083,14.59250432,24.27213922,25.41326815,34.95197117,38.38,40.44,..,41,43.16400446,47.076,50.4,54.26,58.11869757,..
Internet users (per 100 people),IT.NET.USER.P2,Sierra Leone,SLE,0,0.002506116,0.004987835,0.014805065,0.048490656,0.118254246,0.160264445,0.176198957,0.190173282,0.203007681,0.21539161,0.227669467,0.239834699,0.25,0.26,0.58,0.9,1.3,1.7,2.1,2.5,..
Internet users (per 100 people),IT.NET.USER.P2,Somalia,SOM,0,0.00150955,0.002948713,0.00716442,0.013910394,0.02,0.079039179,0.115614213,0.376198003,1.053454744,1.077327839,1.100216368,1.122235622,1.142687372,1.160610542,..,1.25,1.3767,1.5,1.63,1.76,..
Internet users (per 100 people),IT.NET.USER.P2,South Africa,ZAF,0.676740104,0.841882931,1.632093791,2.906220867,4.116249583,5.348559732,6.346619318,6.710322437,7.007691726,8.425118683,7.48854253,7.607139675,8.065375174,8.43,10,24,33.97,41,46.5,49,51.91911572,..
Internet users (per 100 people),IT.NET.USER.P2,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,..,..,14.1,15.9,17.92978723,..
Internet users (per 100 people),IT.NET.USER.P2,Sudan,SDN,0,0,0.001231819,0.004805071,0.008794581,0.025785032,0.140185224,0.439477639,0.538471703,0.791561615,1.292040678,..,8.66,..,..,16.7,17.46,21,22.7,24.64,26.61492855,..
Internet users (per 100 people),IT.NET.USER.P2,Swaziland,SWZ,0.00103175,0.050399009,0.088545986,0.096099605,0.4707176,0.926191777,1.28159005,1.816203807,2.437073851,3.228685073,3.696961073,3.696538789,4.1,6.85,8.94,11.04,18.13,20.78178258,24.7,27.1,30.38270066,..
Internet users (per 100 people),IT.NET.USER.P2,Tanzania,TZA,..,0.001622155,0.007900283,0.009244125,0.075130889,0.11719444,0.171300351,0.222484414,0.676962857,0.877574971,1.1,1.3,1.6,1.9,2.4,2.9,3.2,3.95,4.4,4.86,5.355144064,..
Internet users (per 100 people),IT.NET.USER.P2,Togo,TGO,0,0.010929139,0.211139465,0.305583935,0.590363264,0.8,0.9,1,1.2,1.5,1.8,2,2.2,2.4,2.6,3,3.5,4,4.5,5.7,7.12,..
Internet users (per 100 people),IT.NET.USER.P2,Uganda,UGA,0.002863471,0.004625948,0.010319341,0.065289465,0.10554394,0.163714063,0.237945087,0.384093505,0.46484984,0.71997068,1.742205503,2.529363038,3.671965351,7.9,9.78,12.5,13.01354333,14.6896,16.2,17.71,19.22109963,..
Internet users (per 100 people),IT.NET.USER.P2,Zambia,ZMB,0.008783623,0.009069176,0.009329658,0.030226183,0.147053172,0.191071643,0.233129556,0.477750907,0.980483039,2.013549532,2.851752261,4.159913394,4.87,5.55,6.31,10,11.5,13.4682,15.4,19,21,..
Internet users (per 100 people),IT.NET.USER.P2,Zimbabwe,ZWE,0.00768354,0.016790484,0.033080327,0.081648476,0.161675528,0.401433535,0.799846046,1.1,1.8,2.1,2.4,2.4,3,3.5,4,6.4,8.4,12,15.5,16.3,16.36,..
Internet users (per 100 people),IT.NET.USER.P2,Algeria,DZA,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14,15.22802676,16.5,25,38.2,..
Internet users (per 100 people),IT.NET.USER.P2,Djibouti,DJI,0.01603083,0.031166241,0.082941498,0.094696004,0.105761909,0.194500528,0.343526263,0.486971705,0.625940229,0.781317175,0.953611449,1.270041159,1.62,2.26,4,6.5,7,8.267232892,9.5,10.71,11.92243143,..
Internet users (per 100 people),IT.NET.USER.P2,"Egypt, Arab Rep.",EGY,0.031319638,0.061466899,0.090480245,0.147987377,0.290445278,0.641265038,0.838945611,2.719999715,4.037885107,11.92,12.75,13.66,16.03,18.01,20,21.6,25.6,26.4,29.4,33.89460391,35.9,..
Internet users (per 100 people),IT.NET.USER.P2,Libya,LBY,..,..,..,..,0.133617289,0.187042622,0.366533175,2.244418222,2.814517987,3.532838162,3.917787977,4.301051789,4.721999379,9,10.8,14,14,..,16.5,17.76,19.01607978,..
Internet users (per 100 people),IT.NET.USER.P2,Tunisia,TUN,0.011191954,0.027615372,0.043656974,0.107940957,1.602494764,2.750740293,4.297966035,5.252887295,6.490845795,8.528817752,9.655086542,12.98640865,17.1,27.53,34.07,36.8,39.1,41.4416,43.8,46.16,48.51983599,..
Internet users (per 100 people),IT.NET.USER.P2,Morocco,MAR,0.003710492,0.005675444,0.021635203,0.142300767,0.175595345,0.693791245,1.371438101,2.373253192,3.353366681,11.60793477,15.08444452,19.77119157,21.5,33.1,41.3,52,46.1074826,55.41605319,56,56.8,57.08,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Sub-Saharan Africa,SSF,0.103046504,0.180689004,0.340829925,0.613197841,0.997992876,1.72136386,2.498647536,3.585293899,4.968204083,7.403683227,12.02493278,17.75584378,23.17776271,31.89438616,37.679212,44.41018352,53.09439045,59.68015681,65.99011259,70.87121206,75.74001715,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Angola,AGO,0.016472597,0.026485822,0.055130843,0.07474762,0.177638088,0.185322296,0.521366177,0.940444726,2.269621281,4.63174063,9.738161173,17.83989624,28.01098233,36.98368954,42.84657348,48.10120904,59.82618856,61.40627578,61.87329711,63.4792082,60.84389581,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Benin,BEN,0.017541931,0.043828702,0.067517635,0.096020877,0.107840809,0.79828865,1.742181889,2.950472734,3.08093958,5.797473518,7.28722342,12.50317546,23.56334604,40.40173435,54.46885832,74.39604921,79.40049868,83.65431589,93.25782193,81.70596565,85.64432269,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Botswana,BWA,0,0,0,0.897675617,5.33356832,12.65769422,18.63146249,18.36751842,24.28121327,28.18941102,30.05546952,43.41214719,60.13830503,76.83593118,96.02329234,120.0102471,145.9838697,153.7856491,160.6410528,167.2975939,169.0030004,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Burkina Faso,BFA,0,0.00506143,0.014092851,0.024890963,0.044637705,0.217480374,0.637748952,0.902809026,1.880815092,3.037679629,4.720290206,7.354840819,13.05253397,20.62907931,25.3304628,36.72938024,48.02719397,60.60765215,66.37728295,71.7259882,80.64303328,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Burundi,BDI,0.009082238,0.008912568,0.009718077,0.009615874,0.012222561,0.244520537,0.488582584,0.738874924,0.881016032,1.338877194,1.969012632,2.486764507,3.241953471,5.572453585,10.31456575,18.1747416,20.06827414,22.81446021,24.96258806,30.46201036,46.2209572,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Cabo Verde,CPV,0,0,0.004789708,0.239474846,1.858266846,4.459276806,6.988944394,9.354227469,11.42376199,13.89003267,17.07319111,22.58745902,31.46741973,57.29277356,59.83377049,76.26543014,80.81218046,86.02531144,100.1124481,121.7897017,127.152258,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Cameroon,CMR,0.020101116,0.024446549,0.02855312,0.033095248,0.03867561,0.648423286,2.552194314,4.18010464,6.253165411,8.661224693,12.41890525,16.84911141,23.75158108,31.44110653,39.81367836,41.8760103,49.56740015,60.40682443,70.3904685,75.6851331,71.84542948,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Central African Republic,CAF,0.001343226,0.031967296,0.040003118,0.046681951,0.116598212,0.136519203,0.296972634,0.334461655,1.04448569,1.540992322,2.524680647,2.728105589,8.278756443,13.61972672,20.24357708,22.51148929,22.37140338,25.26102109,29.46657548,24.53960893,20.44520581,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Chad,TCD,0,0,0,0,0,0.066255872,0.25519327,0.381697962,0.698081479,1.272630052,2.096977626,4.500299416,8.587287923,14.50506716,20.06204202,24.53167583,30.34478288,35.36487879,35.56437683,39.75097997,40.17306812,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Comoros,COM,0,0,0,0,0,0,0,0,0.350575206,1.431185075,2.584009868,5.981418464,9.815151975,14.12941193,18.40512718,24.19595919,30.91017629,39.51356301,47.28425115,50.90120382,54.80106693,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,"Congo, Dem. Rep.",ZAR,0.020232062,0.016696581,0.020191297,0.022241527,0.026150001,0.031949396,0.311416239,1.130925646,2.444905248,3.792769423,5.082723491,7.942801654,11.52690544,16.89524742,15.63752578,19.00647586,24.47130767,30.58009217,41.81656407,53.49321638,52.98907151,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,"Congo, Rep.",COG,0,0.035745282,..,0.114474547,0.164233601,2.239137305,4.679258656,6.754536548,9.811447759,11.12402678,15.75537552,25.16003031,34.25590964,46.61451448,73.79715284,90.44274713,91.93909914,98.75682808,104.7695043,108.1495742,111.6643425,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Cote d'Ivoire,CIV,0,0.09259594,0.239327506,0.590886388,1.627198864,2.93188436,4.436889916,6.159273168,7.573690548,9.766100444,13.5071853,23.01735374,41.60500652,57.22349848,70.87826244,82.20152116,89.44962943,91.22862939,95.44605196,106.2476093,119.3109704,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Equatorial Guinea,GNQ,0,0.013365791,0.063655345,0.061043034,0.119481688,0.964917528,2.805878128,5.803420028,7.299244396,10.56344638,16.0524014,19.30759738,23.45149761,27.35458379,29.5486008,57.35549085,66.8802619,68.05374469,67.47338887,66.38811096,66.71937471,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Eritrea,ERI,0,0,0,0,0,0,0,0,0,0.428676577,0.833074787,1.23129209,1.619011387,2.018352101,2.539273454,3.227135845,4.077954414,4.979397878,5.602975462,6.38599695,7.04995255,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Ethiopia,ETH,0,0,0,0,0.01050517,0.026894684,0.040466846,0.072008853,0.071293566,0.209993373,0.539116292,1.107028759,1.5023463,2.36564857,4.775809745,7.869542323,15.80285822,22.37451927,27.25468539,31.59388039,42.76402881,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Gabon,GAB,0.370206862,0.613332035,0.835229451,0.831015195,0.743444999,9.791705935,11.94934434,21.72917519,22.79947105,36.32676997,53.40403707,63.55598776,80.76618018,87.6694296,95.44779828,103.4556766,148.6936289,156.6686186,164.2167217,171.375053,168.9175245,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,"Gambia, The",GMB,0.135304285,0.282499795,0.420058457,0.435446069,0.444791613,0.455705803,4.348732248,7.653059272,11.07116691,12.57243519,17.22725782,27.27777463,52.33214725,73.90036908,80.62692375,87.9633354,80.76025697,85.20375721,99.9766937,119.6304887,131.2632323,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Ghana,GHA,0.036990796,0.074354288,0.12446167,0.232363487,0.380901054,0.690808845,1.263629537,1.954760936,3.918536618,8.135148478,13.44255251,23.72559884,33.75729429,50.0664665,63.77348397,71.86671124,85.27494343,100.9932997,108.1911482,114.8194789,129.7359971,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Guinea,GIN,0.012121718,0.011736,0.034568886,0.255012846,0.292782939,0.481493068,0.625832387,1.003476993,1.211353347,1.651452655,1.973615991,..,19.90650512,26.66103586,32.936074,36.7781157,43.54770359,48.76925037,63.31503903,72.09875075,87.17366364,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Guinea-Bissau,GNB,0,0,0,0,0,0,0,0,0.093711482,2.836587237,6.952089848,10.83048396,19.95658668,32.9718113,36.13019495,42.69221945,45.10659833,63.0692167,55.15072568,63.48369055,69.2749664,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Kenya,KEN,0.008312034,0.010026174,0.023379915,0.03621275,0.077946501,0.407236044,1.867625738,3.597282273,4.69188758,7.309274576,12.88773918,19.96957736,30.06283272,42.04847839,48.62445283,61.03491308,66.8146089,71.17433333,71.76404552,73.84324808,80.67820274,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Lesotho,LSO,0,0.070930875,0.19426324,0.539687716,0.65231182,1.163652036,3.045685279,7.316571262,6.633286935,10.26206811,12.97020943,18.44519698,24.66811263,30.07891192,33.21820036,49.15315236,60.72157105,75.30007872,86.30152835,101.9679515,105.5240374,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Liberia,LBR,0,0,0,0,0,0.051867794,0.066694011,0.162830754,1.512376521,2.963283483,4.893286594,8.272298053,15.9839014,23.26963112,28.39406088,39.69964553,49.52909493,56.79362644,59.40217188,73.35344914,81.09358204,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Madagascar,MDG,0.009663613,0.016567447,0.028612824,0.08643535,0.234242473,0.40072885,0.908488031,0.974006438,1.644891137,1.879643651,2.789819618,5.555513652,11.44808924,24.26502318,30.65911646,36.5839289,40.04243013,39.37666576,36.90806976,41.20948014,46.01535193,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Malawi,MWI,0.003833777,0.0364413,0.06728014,0.09812919,0.20430944,0.432804993,0.479473493,0.721460565,1.103986285,1.767311574,3.258578544,4.660239481,7.662757357,10.66389819,17.05611988,20.763471,25.56405677,29.2138369,32.33015944,33.46880863,35.33642215,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Mali,MLI,0,0.012871175,0.030035121,0.046054694,0.064015263,0.10133933,0.227184768,0.422451786,2.203465197,3.51562473,6.381119979,12.27489738,19.8881407,26.17209427,32.89656779,53.19893999,75.06504419,98.37926527,129.0669372,149.0691312,139.6118556,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Mauritania,MRT,0,0,0,0,0,0.564972795,3.957257336,8.592317244,11.83389774,17.0974578,23.69917779,32.74292687,42.46099968,61.11751406,62.06488083,76.9112489,89.52144655,106.0413193,102.5274559,94.19928487,89.32065985,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Mauritius,MUS,1.039713789,1.824826146,3.681905532,5.183908342,8.68191259,15.1880406,22.83991451,28.9858312,38.40059593,45.31863157,54.16012507,63.49227878,76.11805478,84.46575593,88.58099786,96.7692919,104.7930618,119.8654035,123.2398186,132.2498241,140.5732857,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Mozambique,MOZ,0,0,0.014780106,0.038759156,0.068788234,0.279415996,0.812595994,1.318635599,2.192657947,3.463995267,7.158096552,10.83653425,13.89078923,19.3520095,25.55872869,30.14184555,31.95650185,34.93571402,48.00421557,69.81699867,74.23884829,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Namibia,NAM,0.211580847,0.38960681,0.711047806,1.077515349,1.615379272,4.320444184,5.519649642,7.659693112,11.28946209,14.28104347,22.14362322,29.65740203,38.46157543,49.83913613,76.11744914,89.49525165,98.95730464,95.01813098,118.4342133,113.7562458,102.1012636,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Niger,NER,0,0,0.000994962,0.013205028,0.020686548,0.018708231,0.018654958,0.48692184,0.672145676,1.356695235,2.456446921,3.530777893,6.339238428,12.8758415,16.9836557,23.0821922,28.72476707,31.44796172,39.2922097,44.43748576,46.49586525,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Nigeria,NGA,0.011989874,0.012593755,0.013160263,0.017113417,0.02086256,0.024414713,0.211468606,1.214203412,2.37606151,6.725926062,13.31581571,22.55327253,27.44502851,41.65682945,47.9584083,54.66094952,57.96066304,66.79811805,73.29196161,77.84154715,82.18573909,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Rwanda,RWA,0,0,0,0.069738333,0.14007359,0.464530312,0.742008878,0.916726444,1.432364759,1.483308604,2.36469608,3.252279849,6.397339361,12.93790517,23.07054695,32.74752019,39.89652123,49.66704344,56.80079399,64.02469114,70.48290534,..
Mobile cellular subscriptions (per 100 people),IT.CEL.SETS.P2,Sao Tome and Principe,STP,0,0,0,0,0,0,0,1.370744979,3.268115696,5.134511608,7.730815251,11.60157677,18.42156803,30.04463516,46.65723851,57.63965258,62.8015526,64.95124882,64.93966102,64.93769014,65.09485603,..
